SIC,SC-EU,SC-NA,SC-TP,SST-Indian,SST-Atlantic,SST-Pacific,Z70,AO,NAO,nina3.4,nina1+2,nina3,nina4,PNA,PC
-0.4542031,0.6477526,,-0.5431346,,1.641569,1.397861,0.2668072,0.3317543,0.3317543,0.3317543,0.3317543,0.3317543,0.3317543,0.3317543,-846.4932
-0.5114576,-0.1004992,,0.7020706,,1.236778,0.9059412,0.1638864,0.7513846,0.7513846,0.7513846,0.7513846,0.7513846,0.7513846,0.7513846,-555.4962
-0.1211708,-0.4817737,,0.6156873,,0.2039181,-0.2947189,-0.4043842,0.7818241,0.7818241,0.7818241,0.7818241,0.7818241,0.7818241,0.7818241,305.0056
-0.4112515,0.275256,,0.375836,,1.053859,0.1873378,-1.214896,0.08461455,0.08461455,0.08461455,0.08461455,0.08461455,0.08461455,0.08461455,523.3614
-1.791435,-0.8091971,,-0.4953482,,0.1812247,-0.1337004,-0.4680203,0.04475329,0.04475329,0.04475329,0.04475329,0.04475329,0.04475329,0.04475329,376.1444
-1.317844,0.07687974,,0.8362404,,0.4941878,1.005963,-0.445875,1.057954,1.057954,1.057954,1.057954,1.057954,1.057954,1.057954,-1549.964
-0.8452395,1.299702,,1.960142,,1.269375,1.333608,-0.499796,-0.1357094,-0.1357094,-0.1357094,-0.1357094,-0.1357094,-0.1357094,-0.1357094,-1690.302
-0.9324052,1.05586,,0.3372394,,1.911543,2.174227,-0.3075725,-1.224284,-1.224284,-1.224284,-1.224284,-1.224284,-1.224284,-1.224284,-969.115
-1.250178,0.1247986,,1.043928,,0.4591876,1.121397,-1.116939,2.132758,2.132758,2.132758,2.132758,2.132758,2.132758,2.132758,
-1.815613,1.708774,,-0.4861585,,0.6678407,1.136964,-0.662662,-0.6046227,-0.6046227,-0.6046227,-0.6046227,-0.6046227,-0.6046227,-0.6046227,
-0.03570882,1.235074,,1.912355,,0.3812507,0.9172787,1.63825,1.340606,1.340606,1.340606,1.340606,1.340606,1.340606,1.340606,
-0.5400761,1.097176,,0.6717446,,1.425606,1.203013,0.5667878,-1.11847,-1.11847,-1.11847,-1.11847,-1.11847,-1.11847,-1.11847,
-0.7531074,0.8196028,,-0.7673635,,0.7427835,0.5723363,1.256603,1.122457,1.122457,1.122457,1.122457,1.122457,1.122457,1.122457,
-1.778254,2.116264,,-0.3979373,,1.24112,0.04617725,-0.105846,-1.252549,-1.252549,-1.252549,-1.252549,-1.252549,-1.252549,-1.252549,
-1.86486,0.8322,,0.4769228,,1.016873,0.4949459,1.987061,0.100559,0.100559,0.100559,0.100559,0.100559,0.100559,0.100559,
-0.8667428,0.3156711,,1.959223,,-0.2031859,0.8635364,1.450948,-0.07193151,-0.07193151,-0.07193151,-0.07193151,-0.07193151,-0.07193151,-0.07193151,
