SIC,SC-EU,SC-NA,SC-TP,SST-Indian,SST-Atlantic,SST-Pacific,Z70,AO,NAO,nina3.4,nina1+2,nina3,nina4,PNA,PC
0.3345367,-1.146265,,-0.5238363,,-0.8961657,-1.001648,0.6538421,-0.5763575,-0.5763575,-0.5763575,-0.5763575,-0.5763575,-0.5763575,-0.5763575,623.976
1.174309,-1.469123,,0.2729113,,0.01919287,-0.04890168,-0.9355337,-1.123544,-1.123544,-1.123544,-1.123544,-1.123544,-1.123544,-1.123544,-1302.908
0.8349679,0.05188775,,-0.6828182,,-1.501721,1.391104,-0.1262944,-1.722187,-1.722187,-1.722187,-1.722187,-1.722187,-1.722187,-1.722187,-52.17509
0.8449984,-0.2875865,,-1.023756,,-1.643502,-2.355114,0.3139403,0.744137,0.744137,0.744137,0.744137,0.744137,0.744137,0.744137,37.92945
1.494244,-0.7383486,,-0.7783912,,-1.033955,-0.8148891,0.4025218,0.628177,0.628177,0.628177,0.628177,0.628177,0.628177,0.628177,-5.548202
0.8677623,0.2520025,,-1.328855,,-1.365601,-0.174181,-1.579489,-1.181524,-1.181524,-1.181524,-1.181524,-1.181524,-1.181524,-1.181524,-21.63976
1.34833,0.471364,,1.357297,,-0.5425386,-0.8367556,-0.4180448,-0.03641878,-0.03641878,-0.03641878,-0.03641878,-0.03641878,-0.03641878,-0.03641878,-319.8367
0.748881,-1.05206,,-0.06986472,,-1.381474,-1.112769,0.0633837,1.700807,1.700807,1.700807,1.700807,1.700807,1.700807,1.700807,-376.5682
0.781505,-0.96933,,-1.23512,,-0.4014879,-1.411583,1.27964,-0.2248537,-0.2248537,-0.2248537,-0.2248537,-0.2248537,-0.2248537,-0.2248537,1249.038
1.221438,-2.353104,,-1.183657,,-0.903809,-1.219738,0.6045453,0.76443,0.76443,0.76443,0.76443,0.76443,0.76443,0.76443,693.9148
0.6015893,-1.152303,,-1.083489,,-1.30694,-0.4733271,1.3087,1.265957,1.265957,1.265957,1.265957,1.265957,1.265957,1.265957,876.3146
0.5775695,-1.325917,,-0.6809803,,-0.5422619,-0.4290711,-0.6206198,0.7173213,0.7173213,0.7173213,0.7173213,0.7173213,0.7173213,0.7173213,-168.838
0.9467353,-0.8316469,,-1.27923,,-0.5844844,-0.02070982,2.977833,-0.04366621,-0.04366621,-0.04366621,-0.04366621,-0.04366621,-0.04366621,-0.04366621,939.0476
1.274544,-1.233009,,-1.554922,,-1.764023,-1.062444,0.719557,-0.1958637,-0.1958637,-0.1958637,-0.1958637,-0.1958637,-0.1958637,-0.1958637,1403.289
-0.07466348,0.2574529,,-0.879478,,-1.359015,-0.8932893,-0.14687,0.06867003,0.06867003,0.06867003,0.06867003,0.06867003,0.06867003,0.06867003,-184.7877
1.329556,-0.9497041,,-0.6524922,,-0.5132661,-0.6092305,-0.8418189,1.368147,1.368147,1.368147,1.368147,1.368147,1.368147,1.368147,-334.8356
0.3810558,-0.9234356,,-0.3813958,,-0.5342521,0.07713854,-0.3822813,-0.8539367,-0.8539367,-0.8539367,-0.8539367,-0.8539367,-0.8539367,-0.8539367,342.8984
0.9291522,0.6599187,,0.4815177,,-0.1148436,1.161234,-0.2394394,-0.5814307,-0.5814307,-0.5814307,-0.5814307,-0.5814307,-0.5814307,-0.5814307,573.6521
-0.2080219,0.2056998,,1.494223,,0.2111688,0.1982728,-0.7413163,-0.8314694,-0.8314694,-0.8314694,-0.8314694,-0.8314694,-0.8314694,-0.8314694,-32.80733
-1.144905,0.2709537,,1.205667,,0.2889425,-1.093409,-0.7259588,-1.584485,-1.584485,-1.584485,-1.584485,-1.584485,-1.584485,-1.584485,-878.1091
0.04148002,0.1000044,,0.9722481,,0.1823954,-1.177308,-1.684107,0.494823,0.494823,0.494823,0.494823,0.494823,0.494823,0.494823,-70.60886
0.5423759,1.022489,,-0.6010299,,-0.08120087,-0.2591297,-1.022673,-0.6162187,-0.6162187,-0.6162187,-0.6162187,-0.6162187,-0.6162187,-0.6162187,1151.042
0.765448,-0.5525512,,-0.8206639,,1.223974,0.235362,-0.6673287,0.6071593,0.6071593,0.6071593,0.6071593,0.6071593,0.6071593,0.6071593,192.5266
-0.3233409,1.479072,,0.7746693,,0.8209357,-1.00178,-0.2965422,-2.128772,-2.128772,-2.128772,-2.128772,-2.128772,-2.128772,-2.128772,71.89277
