SIC,SC-EU,SC-NA,SC-TP,SST-Indian,SST-Atlantic,SST-Pacific,Z70,AO,NAO,nina3.4,nina1+2,nina3,nina4,PNA,PC
1.340691,-0.4500179,-1.649262,,-0.9379467,0.3850881,-1.297513,1.573819,-0.5763575,-0.5763575,-0.5763575,-0.5763575,-0.5763575,-0.5763575,-0.5763575,-1412.703
0.9921978,-2.077206,-0.3091506,,-1.515297,-0.7839168,-1.086057,0.3366345,-1.123544,-1.123544,-1.123544,-1.123544,-1.123544,-1.123544,-1.123544,-1392.373
-1.279147,0.2338888,-0.4516625,,0.059937,-2.096772,-0.34404,0.8194123,-1.722187,-1.722187,-1.722187,-1.722187,-1.722187,-1.722187,-1.722187,459.3703
0.1049367,-0.06465916,0.30215,,-0.41334,0.2459497,-1.92758,0.5521923,0.744137,0.744137,0.744137,0.744137,0.744137,0.744137,0.744137,936.3597
0.3990588,-0.9073664,-1.794274,,1.48461,-0.3322303,0.5699334,-0.5263773,0.628177,0.628177,0.628177,0.628177,0.628177,0.628177,0.628177,1715.017
0.2560856,-0.7877356,-1.282981,,2.325276,-0.2888647,0.1930606,-0.5237597,-1.181524,-1.181524,-1.181524,-1.181524,-1.181524,-1.181524,-1.181524,66.07191
0.3885978,-0.7591513,0.2083923,,1.245605,-0.921145,0.7093497,-1.08984,-0.03641878,-0.03641878,-0.03641878,-0.03641878,-0.03641878,-0.03641878,-0.03641878,563.1791
1.094224,-0.2382819,-0.2978996,,-1.03807,-0.7718787,-1.184907,0.1558397,1.700807,1.700807,1.700807,1.700807,1.700807,1.700807,1.700807,85.94536
0.5378134,-1.45682,-0.9267019,,-1.464167,0.681111,-1.880499,1.728117,-0.2248537,-0.2248537,-0.2248537,-0.2248537,-0.2248537,-0.2248537,-0.2248537,-1897.995
-0.4268398,-1.367892,-0.2091425,,0.4963063,-0.2325397,1.171932,-0.1929378,0.76443,0.76443,0.76443,0.76443,0.76443,0.76443,0.76443,1257.526
0.2909956,1.309505,0.3721558,,0.9241329,-0.4555551,0.4889915,0.7508508,1.265957,1.265957,1.265957,1.265957,1.265957,1.265957,1.265957,182.2813
1.07887,-0.5971741,-1.437994,,-0.1702458,0.5039857,0.1580632,-0.5137947,0.7173213,0.7173213,0.7173213,0.7173213,0.7173213,0.7173213,0.7173213,322.4839
0.7397985,-1.662204,-1.214226,,-0.5291352,0.2462419,-1.064712,2.80811,-0.04366621,-0.04366621,-0.04366621,-0.04366621,-0.04366621,-0.04366621,-0.04366621,-2325.324
1.364175,-0.5770586,1.26973,,-0.1828659,-0.09310917,-0.5329296,0.1832092,-0.1958637,-0.1958637,-0.1958637,-0.1958637,-0.1958637,-0.1958637,-0.1958637,-751.4787
-0.4535902,0.07614542,0.108384,,0.05069037,0.412318,-0.9572279,-1.524721,0.06867003,0.06867003,0.06867003,0.06867003,0.06867003,0.06867003,0.06867003,366.1399
0.5019096,-0.6808094,0.3071505,,1.276045,-0.09050979,-0.1926354,-0.3975202,1.368147,1.368147,1.368147,1.368147,1.368147,1.368147,1.368147,495.715
-0.04396706,1.023662,0.5884236,,0.479154,0.9671634,0.01979647,-0.6274056,-0.8539367,-0.8539367,-0.8539367,-0.8539367,-0.8539367,-0.8539367,-0.8539367,685.6646
0.8208146,0.8616846,-0.1141346,,2.132602,-1.700796,0.05350001,-0.5033244,-0.5814307,-0.5814307,-0.5814307,-0.5814307,-0.5814307,-0.5814307,-0.5814307,1208.101
1.190416,-0.5230659,1.149721,,-0.08149882,-0.2019613,-1.752213,-0.9801783,-0.8314694,-0.8314694,-0.8314694,-0.8314694,-0.8314694,-0.8314694,-0.8314694,-840.4186
-1.329173,0.9791975,-0.7104339,,1.088704,0.08220336,1.148578,-0.5792335,-1.584485,-1.584485,-1.584485,-1.584485,-1.584485,-1.584485,-1.584485,759.7327
-0.2567132,0.2899987,-0.8354442,,1.3008,-1.319832,1.37294,-1.735549,0.494823,0.494823,0.494823,0.494823,0.494823,0.494823,0.494823,1230.151
0.3197194,0.435037,-0.1466372,,0.9908615,0.05265874,1.078506,-1.570597,-0.6162187,-0.6162187,-0.6162187,-0.6162187,-0.6162187,-0.6162187,-0.6162187,1321.141
0.2522068,0.08355593,1.325985,,-0.1017941,0.41691,0.555503,-1.160835,0.6071593,0.6071593,0.6071593,0.6071593,0.6071593,0.6071593,0.6071593,-868.595
0.4303227,1.219518,2.341069,,-1.007163,1.42691,-0.775583,-0.7848262,-2.128772,-2.128772,-2.128772,-2.128772,-2.128772,-2.128772,-2.128772,-1483.812
0.2005282,-0.3494432,-0.2591465,,-0.5259317,0.9201348,-0.1611694,0.167458,0.3317543,0.3317543,0.3317543,0.3317543,0.3317543,0.3317543,0.3317543,-1661.427
1.326205,0.1640157,-0.7454368,,-0.2098292,0.5601534,0.002652642,-0.5039214,0.7513846,0.7513846,0.7513846,0.7513846,0.7513846,0.7513846,0.7513846,-332.3326
0.5884179,0.517614,-1.190474,,0.3341445,1.040718,0.8905722,0.5037446,0.7818241,0.7818241,0.7818241,0.7818241,0.7818241,0.7818241,0.7818241,-452.5034
-1.163516,1.230104,1.734769,,0.07861228,-0.8449762,-0.3187093,-0.6655208,0.08461455,0.08461455,0.08461455,0.08461455,0.08461455,0.08461455,0.08461455,1508.354
-1.067546,-0.2679251,-0.5141677,,0.4772367,0.3494383,1.771878,-0.3239073,0.04475329,0.04475329,0.04475329,0.04475329,0.04475329,0.04475329,0.04475329,974.6274
-1.015296,0.2031867,-1.301733,,-0.516503,-0.7546344,0.6878684,-0.4701688,1.057954,1.057954,1.057954,1.057954,1.057954,1.057954,1.057954,111.9722
0.4338525,-1.650558,1.514751,,-1.238274,2.783917,-1.251901,0.5511361,-0.1357094,-0.1357094,-0.1357094,-0.1357094,-0.1357094,-0.1357094,-0.1357094,-1274.565
-0.9619415,1.452427,0.4534127,,0.4638582,-1.29222,1.735317,1.116344,-1.224284,-1.224284,-1.224284,-1.224284,-1.224284,-1.224284,-1.224284,443.6941
-1.938213,-0.9423029,-0.7804399,,0.1544905,-2.407492,1.456355,-0.9800405,2.132758,2.132758,2.132758,2.132758,2.132758,2.132758,2.132758,
