TP,EU,Indian,Pacific,Atlantic,GlobeSST,AO,NAO,PNA,nina3.4,nina4,nina3,nina1+2,PC2
0.1329432,0.06165691,1.426202,-2.716706,0.9807963,1.704481,-0.8314694,-1.028566,0.364692,2.276933,1.021674,2.904522,3.739453,-30.12462
0.2076131,0.1715924,-0.2222447,0.6507908,0.9529429,-0.9530479,-1.584485,-1.217195,0.8354254,-1.39314,-1.733351,-0.9211647,0.08549049,-10.8983
0.8315268,0.191905,-0.6359512,1.120086,0.04107545,-0.9255085,0.494823,0.8361647,0.5874046,-1.300559,-1.446868,-1.300863,-1.027267,-22.53533
-0.624604,-1.151805,-0.2052968,0.6614733,-0.7514732,-0.1413368,-0.6162187,0.06548117,-0.1566581,-0.6690437,-0.8261498,-0.5095599,-0.5740394,18.09626
-0.9588758,1.248406,-0.1815032,0.6649061,-0.6471385,-0.1889156,0.6071593,0.03314477,0.3798769,-0.2458287,0.3197873,-0.5701841,-1.027267,-24.71178
1.292051,-1.141425,0.9602897,-0.7627777,-0.6428652,1.029687,-2.128772,-1.648347,0.6430827,1.248648,1.098073,0.9773211,0.4418199,10.79672
-0.8202065,0.5306994,0.2080396,0.1086111,1.320186,-0.6659226,0.3317543,-0.08542194,-0.03517849,0.3327848,0.5251041,0.3551288,-0.0207852,11.43603
0.4264976,-0.2473779,-0.05061207,-0.3618571,0.6646352,-0.07651505,0.7513846,0.1247645,-0.723563,0.7163262,1.112395,0.4891407,0.1417512,-1.552241
-0.1776536,-0.2871974,-0.4015595,0.6367201,-0.0287893,-0.5091399,0.7818241,-0.2578826,0.7595007,-0.2392145,0.07627805,-0.5223219,-1.114788,-19.56642
0.8288242,0.3997568,0.8209764,-0.8063838,0.3721344,0.5464433,0.08461455,-1.750745,-1.027262,0.7460824,1.164917,0.83693,0.838787,-6.608492
-0.4643168,0.7670332,0.004353909,1.476428,0.6766781,-1.349892,0.04475329,1.132581,1.366899,-1.343543,-1.146055,-1.406154,-1.364845,-1.102399
0.6423793,-1.711526,0.6341943,0.2957973,0.8385633,-0.4806302,1.057954,0.4912434,1.422577,-0.3549395,-0.8595747,0.05839119,0.3011629,28.32916
3.17222,-0.6503229,1.080368,-0.7409354,-0.06546675,0.7620843,-0.1357094,0.3349509,0.8202404,0.9907549,1.336809,0.817787,0.3199159,30.78262
1.019989,-1.936689,-0.2800526,1.552107,1.255174,-1.736113,-1.224284,-1.718409,1.098632,-1.637811,-2.124879,-1.393394,-1.239817,38.51933
-0.2826286,0.4856073,0.9133314,0.9510819,0.03738797,-0.4972867,2.132758,1.445166,-0.2680144,-1.009601,-1.131733,-0.9179733,-0.6928153,-41.40557
0.2867471,-1.776923,1.12316,-0.05325761,0.1639461,0.1825231,-0.6046227,-1.686072,-1.427132,0.256741,0.4821305,0.0807256,-0.2677179,1.604845
1.694477,-2.157833,0.4423795,0.4981767,-0.3846864,-0.07417245,1.340606,0.04392358,-0.5970217,-0.1797004,0.03807742,-0.2542998,-0.6959417,38.04717
1.637399,0.6160089,0.9144045,-0.08647831,-0.4408433,0.453466,-1.11847,0.6475359,1.174556,0.4848782,0.8593338,0.5242372,0.6699979,-7.592057
-0.7098203,1.290253,2.638473,-2.18143,0.24134,1.927814,1.122457,1.062519,0.4456783,2.402574,1.795184,2.515254,2.045315,-36.98213
-0.2743103,-0.2635415,0.2290135,0.6698283,1.239869,-1.013638,-1.252549,0.6259784,1.437762,-0.6954964,-0.4584953,-0.4872274,0.2792836,-18.64183
-0.08590256,-0.3583983,1.048138,1.067791,1.121543,-1.070475,0.100559,-0.05847494,-1.427132,-0.6558191,-0.2149834,-0.8318215,-0.9209951,3.459943
2.301895,-0.4800437,1.558514,-0.1554529,1.397093,-0.2497937,-0.07193151,1.526007,0.7746856,0.7460824,1.25564,0.6103852,0.2355231,12.82906
