TP,EU,Indian,Pacific,Atlantic,GlobeSST,AO,NAO,PNA,nina3.4,nina4,nina3,nina1+2,PC2
-0.9711086,-0.6254711,-1.26998,-0.5600547,-0.44413,0.3488791,-0.5763575,0.8092177,1.589611,0.2137566,-0.08128933,0.4253252,0.2730326,12.56981
-0.212981,0.8072996,-0.8108476,0.04965272,-1.157034,0.3575633,-1.123544,-0.7375387,1.938865,-0.2193777,-0.05741598,-0.2511102,-0.4208769,-3.720893
-0.7572636,-1.006282,-1.582814,0.3683342,0.1279346,-0.6330137,-1.722187,-1.610621,-0.2022129,-0.3053409,-0.429849,-0.2862085,-0.6177963,58.36765
-0.767144,0.8193053,0.211814,-2.358213,-2.335917,2.800435,0.744137,1.558344,-0.3743091,1.777671,0.8450119,2.074934,1.876526,-38.66685
-0.815058,-0.4472755,-0.03778642,-0.07440615,-1.574027,0.79757,0.628177,-0.6028038,0.2027191,-0.9897619,-1.193807,-0.5095599,0.8169041,-10.144
-0.9929217,0.2406946,-1.878469,0.5889979,1.440997,-1.473895,-1.181524,0.1678797,-0.2022129,-0.73517,-0.9550681,-0.6659064,-0.2645933,29.76588
0.6648974,-0.5172685,-1.570314,0.6334845,-0.2962732,-0.6119099,-0.03641878,0.03314479,-2.12564,-0.5235626,-0.4966933,-0.7807717,-0.8866102,24.57694
-0.2319632,0.3672386,-0.5657839,-0.7243335,-1.539983,1.128039,1.700807,1.773919,-0.02505517,0.7659191,0.4821305,0.4859475,0.2042664,-44.6314
-0.9577085,0.3586968,1.286792,-1.44377,0.8820546,0.8385859,-0.2248537,-0.2956083,-0.4552954,1.298245,1.246089,1.187907,1.11385,4.523511
-0.6724233,1.204391,-0.2520109,1.557289,0.6685262,-1.453344,0.76443,-1.184859,-0.1060416,-1.644423,-1.957765,-1.399775,-1.121039,-9.253385
-0.9841734,0.5084072,-0.3575023,0.3625315,0.001487478,-0.3241445,1.265957,1.310432,-0.8146728,-0.3880027,-0.6208385,-0.4393634,-0.4740147,-0.5701556
-0.8248324,0.7253472,-0.2827688,-0.08943588,0.1407237,-0.06152979,0.7173213,0.7122086,-1.654907,0.170774,0.6205975,-0.09795522,-0.6209245,-7.574365
-1.025145,1.776021,-0.3145109,-0.8048414,-1.983313,1.446319,-0.04366621,0.5666949,-0.6172683,0.8122106,0.9166293,0.5848594,0.5324655,-40.428
-1.055492,0.9282378,-1.226656,-0.2022331,-2.187345,0.9429699,-0.1958637,-0.4249538,-0.08579499,-0.2226848,0.1335763,-0.3053533,-0.0520437,-5.494513
0.3349132,0.5806532,-0.6899329,-0.5573984,0.9871846,-0.2223631,0.06867003,0.895448,-0.8754125,0.1277915,0.2863679,0.1126324,0.3449234,30.32407
-0.7703744,1.526748,-0.2999757,-0.7026991,-0.5146977,0.6752716,1.368147,-0.7375388,-2.00416,0.7659191,1.031226,0.4061786,0.3480498,-18.08821
-0.3173421,0.831691,-0.4038315,0.8032521,-0.04400168,-0.6181409,-0.8539367,-0.3495023,0.1824725,-0.9401671,-0.5730891,-1.016885,-0.3958711,33.92634
0.2798756,-1.678269,-1.980038,0.665324,-0.5142907,-0.6114027,-0.5814307,-0.8022115,-0.8197344,-0.4409046,-0.3391259,-0.5797564,-0.8084683,12.3376
