iter	Passed	Remaining
455	506	5048
456	507	5040
457	507	5033
458	507	5025
459	508	5018
460	508	5009
461	509	4999
462	509	4989
463	509	4981
464	509	4972
465	510	4964
466	510	4955
467	510	4947
468	511	4937
469	511	4929
470	511	4922
471	512	4917
472	513	4914
473	513	4906
474	514	4897
475	514	4888
476	514	4879
477	515	4875
478	515	4867
479	516	4860
480	516	4854
481	517	4846
482	517	4837
483	517	4828
484	518	4826
485	519	4822
486	520	4822
487	520	4813
488	520	4805
489	521	4797
490	521	4788
491	521	4781
492	522	4778
493	523	4770
494	523	4762
495	523	4754
496	523	4747
497	524	4738
498	524	4733
499	525	4725
500	525	4722
501	527	4722
502	527	4714
503	527	4708
504	528	4701
505	528	4693
506	528	4687
507	529	4680
508	529	4674
509	530	4668
510	531	4664
511	531	4661
512	532	4655
513	532	4648
514	532	4640
515	533	4633
516	533	4626
517	533	4620
518	534	4612
519	534	4606
520	535	4600
521	535	4593
522	535	4586
523	536	4578
524	536	4571
525	536	4566
526	537	4559
527	537	4553
528	538	4547
529	538	4541
530	538	4534
531	539	4532
532	540	4526
533	541	4524
534	541	4519
535	541	4512
536	542	4507
537	542	4499
538	543	4495
539	543	4489
540	543	4482
541	544	4477
542	544	4471
543	545	4464
544	545	4458
545	546	4456
546	547	4453
547	547	4446
548	547	4441
549	548	4440
550	549	4436
551	549	4431
552	550	4425
553	550	4419
554	551	4413
555	551	4408
556	552	4403
557	552	4401
558	553	4394
559	554	4392
560	554	4386
561	554	4379
562	555	4375
563	555	4369
564	556	4370
565	557	4365
566	558	4364
567	558	4358
568	558	4352
569	559	4346
570	559	4340
571	560	4338
572	560	4333
573	561	4327
574	561	4322
575	562	4320
576	562	4315
577	563	4310
578	563	4305
579	564	4298
580	564	4291
581	564	4285
582	565	4284
583	566	4280
584	566	4275
585	566	4268
586	567	4263
587	567	4261
588	568	4259
589	569	4257
590	570	4253
591	570	4247
592	571	4245
593	571	4241
594	572	4235
595	572	4230
596	573	4226
597	573	4224
598	574	4219
599	575	4217
600	576	4216
601	576	4213
602	578	4217
603	578	4212
604	579	4207
605	579	4203
606	580	4198
607	580	4194
608	581	4192
609	581	4187
610	582	4182
611	582	4178
612	583	4174
613	584	4172
614	584	4170
615	585	4165
616	585	4160
617	586	4155
618	586	4151
619	586	4146
620	587	4144
621	588	4139
622	589	4139
623	590	4139
624	591	4142
625	592	4137
626	592	4132
627	593	4128
628	593	4122
629	594	4120
630	594	4115
631	594	4109
632	594	4104
633	595	4100
634	595	4096
635	596	4091
636	596	4086
637	597	4082
638	597	4077
639	597	4072
640	598	4067
641	598	4064
642	599	4061
643	599	4057
644	600	4053
645	601	4052
646	601	4048
647	601	4043
648	602	4041
649	603	4036
650	603	4031
651	603	4027
652	604	4026
653	605	4020
654	606	4022
655	607	4023
656	609	4026
657	609	4021
658	609	4017
659	610	4013
660	610	4008
661	611	4006
662	611	4002
663	612	4001
664	613	3999
665	614	3999
666	614	3994
667	615	3991
668	618	4001
669	619	4003
670	620	4000
671	621	4005
672	624	4012
673	625	4013
674	626	4015
675	628	4019
676	629	4018
677	629	4013
678	629	4008
679	630	4007
680	631	4003
681	632	4005
682	633	4001
683	633	3998
684	634	3993
685	634	3989
686	634	3986
687	635	3982
688	636	3984
689	639	3997
690	640	3993
691	642	4001
692	643	4001
693	645	4004
694	645	4000
695	646	3997
696	648	4003
697	650	4009
698	651	4005
699	652	4006
700	655	4019
701	659	4035
702	660	4036
703	661	4039
704	662	4034
705	662	4028
706	662	4024
707	664	4025
708	664	4021
709	664	4016
710	664	4011
711	665	4009
712	666	4005
713	666	4000
714	666	3996
715	667	3992
716	667	3988
717	667	3983
718	668	3978
719	668	3974
720	669	3971
721	669	3967
722	669	3962
723	670	3957
724	670	3953
725	670	3948
726	671	3944
727	671	3941
728	671	3936
729	673	3937
730	674	3940
731	675	3939
732	676	3939
733	676	3934
734	677	3931
735	677	3926
736	678	3926
737	679	3921
738	679	3917
739	680	3918
740	681	3918
741	682	3914
742	682	3910
743	682	3906
744	683	3902
745	683	3898
746	684	3896
747	685	3894
748	685	3890
749	685	3886
750	686	3881
751	686	3877
752	686	3873
753	687	3870
754	687	3866
755	688	3863
756	688	3859
757	688	3855
758	689	3853
759	690	3851
760	691	3850
761	691	3845
762	692	3844
763	693	3843
764	695	3849
765	696	3851
766	697	3848
767	697	3845
768	698	3841
769	698	3838
770	699	3836
771	700	3833
772	700	3829
773	700	3824
774	700	3820
775	701	3819
776	702	3816
777	702	3813
778	703	3809
779	703	3806
780	703	3802
781	704	3801
782	705	3798
783	705	3794
784	706	3793
785	706	3789
786	707	3786
787	707	3783
788	708	3779
789	709	3780
790	709	3777
791	710	3775
792	714	3789
793	714	3785
794	714	3781
795	715	3777
796	715	3773
797	715	3769
798	716	3765
799	716	3761
800	716	3757
801	717	3756
802	717	3752
803	718	3747
804	718	3743
805	718	3740
806	720	3741
807	720	3737
808	721	3735
809	721	3731
810	721	3727
811	722	3724
812	722	3721
813	723	3719
814	724	3720
815	725	3721
816	726	3717
817	726	3716
818	727	3715
819	728	3711
820	728	3708
821	729	3707
822	729	3703
823	730	3700
824	730	3696
825	732	3699
826	732	3698
827	733	3695
828	733	3691
829	734	3688
830	734	3684
831	734	3680
832	735	3676
833	735	3672
834	735	3671
835	736	3667
836	736	3664
837	737	3661
838	737	3657
839	738	3654
840	738	3651
841	738	3648
842	739	3647
843	740	3646
844	740	3643
845	741	3639
846	743	3643
847	743	3640
848	745	3642
849	747	3651
850	751	3661
851	751	3659
852	752	3656
853	752	3654
854	753	3651
855	754	3654
856	758	3667
857	761	3678
858	766	3693
859	767	3694
860	769	3696
861	769	3694
862	770	3694
863	771	3692
864	771	3689
865	772	3688
866	773	3686
867	773	3682
868	773	3678
869	774	3677
870	775	3676
871	776	3673
872	776	3669
873	777	3668
874	777	3665
875	778	3662
876	778	3659
877	778	3655
878	779	3653
879	779	3649
880	780	3648
881	780	3645
882	781	3641
883	781	3640
884	782	3637
885	783	3637
886	783	3634
887	784	3630
888	784	3627
889	784	3624
890	785	3623
891	786	3623
892	787	3620
893	787	3617
894	788	3614
895	788	3611
896	788	3608
897	789	3604
898	789	3601
899	790	3600
900	791	3599
901	791	3596
902	791	3592
903	792	3589
904	792	3587
905	793	3586
906	793	3582
907	794	3579
908	795	3578
909	795	3576
910	796	3574
911	796	3570
912	797	3570
913	799	3572
914	801	3576
915	801	3575
916	802	3575
917	804	3575
918	806	3579
919	807	3580
920	809	3583
921	810	3584
922	811	3585
923	811	3581
924	813	3581
925	814	3581
926	814	3578
927	815	3576
928	815	3572
929	815	3569
930	816	3567
931	816	3565
932	817	3562
933	817	3560
934	818	3558
935	819	3556
936	820	3559
937	821	3558
938	822	3555
939	822	3553
940	824	3556
941	826	3559
942	828	3566
943	830	3570
944	834	3582
945	836	3583
946	840	3598
947	842	3599
948	843	3600
949	845	3603
950	847	3607
951	848	3606
952	848	3604
953	849	3602
954	850	3601
955	851	3602
956	852	3599
957	852	3597
958	853	3594
959	853	3593
960	854	3590
961	854	3587
962	854	3583
963	855	3580
964	855	3577
965	856	3576
966	856	3573
967	857	3572
968	858	3571
969	859	3568
970	859	3565
971	859	3562
972	859	3558
973	860	3555
974	860	3552
975	860	3548
976	861	3545
977	861	3542
978	861	3539
979	862	3538
980	863	3537
981	864	3535
982	865	3535
983	865	3532
984	865	3529
985	866	3525
986	866	3523
987	866	3520
988	867	3516
989	867	3514
990	867	3511
991	868	3508
992	868	3505
993	869	3502
994	869	3499
995	869	3495
996	870	3493
997	870	3490
998	870	3487
999	871	3487
1000	872	3484
1001	873	3484
1002	874	3483
1003	874	3480
1004	875	3481
1005	876	3480
1006	877	3478
1007	877	3476
1008	878	3475
1009	879	3475
1010	880	3472
1011	880	3469
1012	880	3466
1013	881	3463
1014	881	3460
1015	881	3457
1016	882	3455
1017	882	3452
1018	883	3449
1019	883	3447
1020	883	3444
1021	884	3441
1022	884	3438
1023	885	3436
1024	885	3434
1025	886	3432
1026	886	3429
1027	886	3426
1028	887	3426
1029	888	3423
1030	888	3421
1031	889	3418
1032	890	3417
1033	890	3415
1034	891	3414
1035	891	3410
1036	891	3408
1037	892	3405
1038	892	3402
1039	894	3404
1040	894	3401
1041	894	3399
1042	895	3396
1043	895	3393
1044	895	3390
1045	896	3387
1046	896	3384
1047	896	3382
1048	897	3379
1049	897	3376
1050	897	3374
1051	898	3371
1052	898	3369
1053	899	3366
1054	900	3366
1055	900	3363
1056	900	3360
1057	901	3357
1058	901	3354
1059	901	3352
1060	902	3350
1061	902	3347
1062	903	3345
1063	903	3342
1064	904	3341
1065	904	3339
1066	905	3336
1067	905	3333
1068	905	3331
1069	906	3329
1070	906	3326
1071	908	3328
1072	909	3326
