GBDT,LightGBM,CatBoost,XGBoost,LR
660.3397317,258.8981986,210.0482354,3.1812866,1020.349324
154.1456013,258.8981986,186.0260014,-10.383505,193.7821665
-89.91426125,258.8981986,49.57697495,-10.383505,-773.8881102
352.8325215,258.8981986,270.1513627,3.1812866,-161.8702041
592.7403678,258.8981986,346.1176538,3.1812866,523.5113579
457.3037277,256.5896296,247.3835824,3.1812866,918.456252
383.8493012,256.5896296,323.6344118,3.1812866,434.0089674
426.1868252,258.8981986,708.6586595,3.1812866,398.7921228
