GBDT,LightGBM,CatBoost,XGBoost,LR
-1415.992012,-939.2916621,-927.3872769,-630.83905,-1010.850686
-777.8897084,-493.8233036,-590.9907628,-397.20322,-213.2261171
35.56884491,-13.0845531,-115.8935762,-55.61293,-582.4198249
-523.292392,-554.3022901,-625.1020639,-311.54578,-369.5199793
84.55539597,4.483025947,-297.631652,-191.86705,348.2127293
-274.001237,-142.7428765,-252.782456,-334.74942,180.9099615
-105.4578262,-351.8381256,-290.5240919,-295.97195,-104.1450287
-388.076241,-127.984721,-258.3914543,-391.17148,-854.5032381
