GBDT,LightGBM,CatBoost,XGBoost,LR
932.817817,221.5686624,24.86498454,1.057361,2210.067695
-164.9241059,206.4464746,89.25997691,-6.9543023,954.0040071
34.41958301,32.15776203,3.341594342,-6.9543023,118.2630594
-496.478598,-254.0833356,-56.90928982,-6.9543023,-410.8276555
-447.1587103,33.64691117,2.458652634,1.057361,251.4615591
-189.3146771,-247.1312841,-57.36163124,-6.9543023,-97.58371923
-118.6528335,-238.9611478,-68.27853237,3.3695161,-672.1013935
-1188.365036,-269.1326807,-190.9504365,-1.164163,-2530.573595
